matchup,seed,player_name,agent_name,won,score,tickets_completed,tickets_total,ticket_completion_rate,avg_ticket_progress,avg_route_points,claimed_routes,avg_decision_time_ms,illegal_move_count,prevented_illegal_claims_avg,game_length_turns
random_vs_symbolic,42,random,random,0,-1,3,9,0.3333333333333333,0.12312693108432457,3,7,0.07308421031905853,0,40.10526315789474,36
random_vs_symbolic,42,symbolic,symbolic,1,31,1,2,0.5,0.5868055555555556,2.875,8,2.840677777587391,0,40.111111111111114,36
random_vs_symbolic,43,random,random,0,-55,1,10,0.1,0.1975248015873016,1.8571428571428572,7,0.07256000026245601,0,37.65,38
random_vs_symbolic,43,symbolic,symbolic,1,12,0,2,0.0,0.47885338345864664,2.625,8,3.1880421048347336,0,40.1578947368421,38
random_vs_symbolic,44,random,random,0,-42,1,8,0.125,0.19345238095238096,2.2857142857142856,7,0.07164761917097383,0,39.333333333333336,40
random_vs_symbolic,44,symbolic,symbolic,1,31,1,2,0.5,0.28928571428571426,2.2222222222222223,9,2.623590000166587,0,40,40
random_vs_symbolic,45,random,random,0,-47,1,8,0.125,0.1007388262322473,1.6666666666666667,6,0.06968947357228517,0,39.73684210526316,36
random_vs_symbolic,45,symbolic,symbolic,1,27,1,2,0.5,0.2916666666666667,2.5,8,2.7516555553827655,0,40.44444444444444,36
random_vs_symbolic,46,random,random,0,-31,2,9,0.2222222222222222,0.24022360796170322,2.142857142857143,7,0.07576500001960085,0,39,38
random_vs_symbolic,46,symbolic,symbolic,1,13,0,2,0.0,0.34868421052631576,2.3333333333333335,9,4.821789473728706,0,39.421052631578945,38
random_vs_symbolic,47,random,random,1,62,5,7,0.7142857142857143,0.20693877551020406,3,8,0.07535500026278896,0,40.3,39
random_vs_symbolic,47,symbolic,symbolic,0,24,2,3,0.6666666666666666,0.49525462962962963,2.111111111111111,9,2.3019949999252276,0,40.8,39
random_vs_symbolic,48,random,random,0,-41,0,7,0.0,0.17175876198432588,2.6666666666666665,6,0.06952631548828274,0,39.78947368421053,36
random_vs_symbolic,48,symbolic,symbolic,1,13,0,2,0.0,0.44593253968253965,2.111111111111111,9,3.2506666666449746,0,40.05555555555556,36
random_vs_symbolic,49,random,random,0,0,3,8,0.375,0.1091765873015873,2.25,8,0.06991999989622855,0,40.55,38
random_vs_symbolic,49,symbolic,symbolic,1,4,0,2,0.0,0.23778195488721804,2.5,8,3.239015789643561,0,40.26315789473684,38
random_vs_symbolic,50,random,random,0,-49,0,8,0.0,0.14302957294028723,2.4285714285714284,7,0.06951428535796281,0,39.61904761904762,40
random_vs_symbolic,50,symbolic,symbolic,1,47,2,2,1.0,0.6535714285714286,2.4444444444444446,9,2.5724050001372234,0,40.15,40
random_vs_symbolic,51,random,random,0,-15,0,5,0.0,0.1459325396825397,2.375,8,0.06725238086974492,0,39.476190476190474,40
random_vs_symbolic,51,symbolic,symbolic,1,7,0,3,0.0,0.3133597883597884,2.6666666666666665,9,2.697659999739699,0,40.7,40
